"School ID","School Ministry Number","School Name","Year Established","School Classification","Education Office","District Name","Administrative Region","Administrative Contry","Administrative Centers","School Address","School Phone","School Fax","Study Level","School Gender","Student Count","Saudi Student Count","NonSaudi Student Count","Teachers Count","Saudi Teacher Count","NonSaudi Teacher Count","Classes Count"
"20989","47224","MOAOYAH BN ABE SOFYAN ELEMENTARY SCHOOL","","حكومي","مكتب التربية والتعليم شرق بريدة","الإدارة العامة للتربية والتعليم بمنطقة القصيم","القصيم","بريدة","بريدة","القصيم-بريدة-القاع البارد","p-moaih@qbe.gov.sa","3242982","3242982","المرحلة الابتدائية","بنين","179","160","19","13","13","0","8"
"10136","47331","NAHOAND","1394","حكومي","مكتب التربية والتعليم بمحافظة رياض الخبراء","الإدارة العامة للتربية والتعليم بمنطقة القصيم","القصيم","بريدة","الخبراء","القصيم-الخبراء","i-47331@qbe.gov.sa","063550192","063550192","المرحلة المتوسطة","بنين","287","280","7","21","21","0","11"
"33587","64548","Badr","1425","حكومي","مكتب التربية والتعليم بترج","إدارة التربية والتعليم بمحافظة بيشة","عسير","بيشة","وادي ترج","بيشه - وادي ترج - البهيم","64548@bishaedu.gov.sa","6333532","0","المرحلة الابتدائية","بنين","5","5","0","4","4","0","3"
"29676","80124","The Primary School of Dhabia bint Wahb in Aljawfa'a","1399","حكومي","مكتب التربية والتعليم بالمندق","الإدارة العامة للتربية والتعليم بمنطقة الباحة","الباحة","المندق","بني حسن","الجوفاء","bahagirls167@bahagedu.gov.sa","0541910147","","المرحلة الابتدائية","بنات","69","69","0","13","13","0","6"
"27510","51105","The 23th Elementary School","1416","حكومي","إدارة التربية والتعليم بمحافظة الرس","إدارة التربية والتعليم بمحافظة الرس","القصيم","الرس","الرس","حى الشفاء","51105@alrassge.gov.sa","3390194","063390194","المرحلة الابتدائية","بنات","115","108","7","22","22","0","6"
"48377","32652","Ibn hajar Secondary School night","1434","حكومي","مكتب التربية والتعليم بجنوب جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","","32652@jedu.gov.sa","","","المرحلة الثانوية","بنين","334","327","7","20","20","0","10"
"24999","22021","A656M","1413","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€ Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","Ш§Щ„Ш±ЩЉШ§Ш¶","Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","Ш§Щ„ЩЃЩ€ЩЉЩ„Щ‚","Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ© - Ш§Щ„ЩЃЩ€ЩЉЩ„Щ‚ Ш§Щ„ШґЩ…Ш§Щ„ЩЉ","","6533113","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","44","43","1","11","11","0","9"
"16418","89122","The4th Intermediate School at Sametah","1421","حكومي","مكتب التربية والتعليم بصامطة","الإدارة العامة للتربية والتعليم بمنطقة جازان","جازان","صامطة","صامطة","الخوالف","m42000@hotmail.com","3323397","0","المرحلة المتوسطة","بنات","122","107","15","23","23","0","8"
"26088","34146","The 119th Elementary School","1409","?????","???? ????? ??????? ????????- ????? ???","??????? ?????? ??????? ???????? ??????? ???","??? ???????","???","???","?????? 2","34146@jedu.gov.sa","6981048","","??????? ??????????","????","285","123","162","27","27","0","12"
"20111","33006","OTBAN BIN MALEK ELEMENTARY SCHOOL","1424","حكومي","مكتب التربية والتعليم بشرق جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","حي الاجاويد","33006@jedu.gov.sa","26200087","0","المرحلة الابتدائية","بنين","468","466","2","31","31","0","17"
"5420","26785","SALMAN ALFARSI","","حكومي","مكتب التربية والتعليم بجنوب مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","","","","","","","المرحلة الثانوية","بنين","192","151","41","22","22","0","7"
"26180","34241","The 8th Holy Quran Memorization Elementary School","1417","حكومي","مكتب إدارة التربية والتعليم - بجنوب شرق جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","الفضل ك16","34241@jedu.gov.sa","2800026","2800026","المرحلة الابتدائية","بنات","158","158","0","17","17","0","8"
"24020","87245","al-faysalah","1389","حكومي","وسط جازان","الإدارة العامة للتربية والتعليم بمنطقة جازان","جازان","جازان","جازان","جازان مخطط ( 6 )","87245@moe.gov.sa","3172050","0","المرحلة الابتدائية","بنين","302","230","72","17","17","0","12"
"27872","55864","AL-Fahad Elementary School In Dammam","1413","أهلي","مكتب التربية والتعليم شرق الدمام","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","الدمام","الدمام","الطبيشي","55864@schooleast.gov.sa","8269893","8291617","المرحلة الابتدائية","بنات","79","51","28","19","18","1","6"
"23009","73275","MAAN BINZAADH","1403","حكومي","مكتب التربية والتعليم بالجنوب","الإدارة العامة للتربية والتعليم بمنطقة حائل","حائل","حائل","حائل","حائل","b73275@hailsa.gov.sa","5329741","5349741","المرحلة الابتدائية","بنين","66","54","12","15","15","0","6"
"34638","33242","amir bin deanar","1432","حكومي","مكتب التربية والتعليم برابغ","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","رابغ","رابغ","","33242@jedu.gov.sa","4221415","","المرحلة المتوسطة","بنين","268","204","64","24","24","0","9"
"4065","55542","The 1st Secondary School in Al-Sarrar","1417","حكومي","مكتب التربية والتعليم بمحافظة النعيرية","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","النعيرية","الصرار","الشرقية الصرار","sarrar-sec-sch@hotmail.com","3701848","3701848","المرحلة الثانوية","بنات","196","127","69","32","32","0","10"
"56136","175715","kindargarteiskanalghazalah","1436","حكومي","الغزالة","الإدارة العامة للتربية والتعليم بمنطقة حائل","حائل","","","","","","","رياض أطفال","بنات","0","0","0","0","0","0","0"
"20899","47133","Osama bin zaid EIementary School","1371","حكومي","مكتب التربية والتعليم غرب بريدة","الإدارة العامة للتربية والتعليم بمنطقة القصيم","القصيم","بريدة","الشقة","القصيم-بريدة-الشقة","p-47133@qbe.gov.sa","3872760","0","المرحلة الابتدائية","بنين","59","54","5","8","8","0","6"
"30372","88862","Al-Ezzah that almesk Elementary School","1416","حكومي","مكتب التربية والتعليم بالداير","إدارة التربية والتعليم بمحافظة صبيا","جازان","الدائر","الدائر","العزة ذات المسك","sch88862@sabiaedu.gov.sa","111111111","0","المرحلة الابتدائية","بنات","56","56","0","11","11","0","6"
"34517","363395","Al-Amjad Secondary School -C","1401","حكومي","المظيلف","إدارة التربية والتعليم بمحافظة القنفذة","مكة المكرمة","","","المظيلف","alzubaidi1396@gmail.com","077320260","","المرحلة الثانوية","بنين","235","231","4","38","38","0","0"
